videoID,resolution,size(MB),duration(s)
x5frzub,1080p,222,284
x5frzub,720p,77,284
x5frzub,480p,30,284
x5frzub,360p,17,284
x5frzub,240p,9,284
x5frzub,144p,3,284
x6feuy3,1080p,8,10
x6feuy3,720p,3,10
x6feuy3,480p,1,10
x6feuy3,360p,0.6,10
x6feuy3,240p,0.3,10
x6feuy3,144p,0.1,10
x6fexjn,1080p,45,58
x6fexjn,720p,16,58
x6fexjn,480p,6.1,58
x6fexjn,360p,3.3,58
x6fexjn,240p,1.8,58
x6fexjn,144p,0.75,58
x6fexsp,1080p,32,40
x6fexsp,720p,10.7,40
x6fexsp,480p,4.3,40
x6fexsp,360p,2.3,40
x6fexsp,240p,1.2,40
x6fexsp,144p,0.5,40
x6genfa,1080p,21,27
x6genfa,720p,8,27
x6genfa,480p,3,27
x6genfa,360p,2,27
x6genfa,240p,0.8,27
x6genfa,144p,0.3,27
x6idkj5,1080p,14,18
x6idkj5,720p,5,18
x6idkj5,480p,1.9,18
x6idkj5,360p,1,18
x6idkj5,240p,0.5,18
x6idkj5,144p,0.23,18
x728p0k,720p,14.8,55
x728p0k,360p,3.2,55
x728p0k,480p,6,55
x728p0k,240p,1.7,55
x728p0k,144p,0.7,55
x73234d,1080p,50,61
x73234d,720p,17,61
x73234d,480p,7,61
x73234d,360p,3.5,61
x73234d,240p,2,61
x73234d,144p,0.9,61
x7b56dr,1080p,72,92
x7b56dr,720p,24.7,92
x7b56dr,480p,9.6,92
x7b56dr,360p,5.4,92
x7b56dr,240p,3,92
x7b56dr,144p,1,92
x7d020p,1080p,91,116
x7d020p,720p,32,116
x7d020p,480p,13,116
x7d020p,360p,7,116
x7d020p,240p,3.6,116
x7d020p,144p,1.2,116
x7mzf0n,1080p,203,261
x7mzf0n,720p,71,261
x7mzf0n,480p,28,261
x7mzf0n,360p,15,261
x7mzf0n,240p,8,261
x7mzf0n,144p,3,261
x7ngcte,1080p,39,50
x7ngcte,720p,13.5,50
x7ngcte,480p,5.5,50
x7ngcte,360p,3,50
x7ngcte,240p,1.5,50
x7ngcte,144p,0.65,50
x7ngdxz,1080p,44,56
x7ngdxz,720p,15,56
x7ngdxz,480p,6,56
x7ngdxz,360p,4,56
x7ngdxz,240p,2,56
x7ngdxz,144p,0.7,56
x7ngfim,1080p,30,38
x7ngfim,720p,10,38
x7ngfim,480p,4,38
x7ngfim,360p,2.5,38
x7ngfim,240p,2.5,38
x7ngfim,144p,0.4,38
x7nggms,1080p,67,88
x7nggms,720p,24,88
x7nggms,480p,10,88
x7nggms,360p,5,88
x7nggms,240p,2.8,88
x7nggms,144p,1,88
x7nh7ue,720p,36,131
x7nh7ue,480p,14,131
x7nh7ue,360p,8,131
x7nh7ue,240p,2,131
x7nh7ue,144p,0.4,131
x7nh7ut,720p,82,305
x7nh7ut,480p,32,305
x7nh7ut,360p,18,305
x7nh7ut,240p,9,305
x7nh7ut,144p,4,305
x7nlqzh,1080p,80,102
x7nlqzh,720p,28,102
x7nlqzh,480p,11,102
x7nlqzh,360p,6,102
x7nlqzh,240p,3.20,102
x7nlqzh,144p,1.3,102
x7nlukj,1080p,112,83
x7nlukj,720p,39,83
x7nlukj,480p,15,83
x7nlukj,360p,8.4,83
x7nlukj,240p,5,83
x7nlukj,144p,1,83
hx7nlvel,1080p,97,124
hx7nlvel,720p,34,124
hx7nlvel,480p,13,124
hx7nlvel,360p,7.1,124
hx7nlvel,240p,3.8,124
hx7nlvel,144p,1.4,124
x7nly2k,1080p,86,130
x7nly2k,720p,30,130
x7nly2k,480p,12,130
x7nly2k,360p,6.4,130
x7nly2k,240p,3.5,130
x7nly2k,144p,1.0,130
x7nmjou,1080p,72,95
x7nmjou,720p,26,95
x7nmjou,480p,10,95
x7nmjou,360p,5.5,95
x7nmjou,240p,2,95
x7nmjou,144p,1,95
x7nmlhq,1080p,94,120
x7nmlhq,720p,33,120
x7nmlhq,480p,13,120
x7nmlhq,360p,7,120
x7nmlhq,240p,4,120
x7nmlhq,144p,1,120
x7nmo84,1080p,76,97
x7nmo84,720p,27,97
x7nmo84,480p,10,97
x7nmo84,360p,7,97
x7nmo84,240p,3,97
x7nmo84,144p,1,97
x7nn37g,1080p,80,93
x7nn37g,720p,28,93
x7nn37g,480p,10.8,103
x7nn37g,360p,6,103
x7nn37g,240p,3.3,103
x7nn37g,144p,1,103
x7nn4hl,1080p,42,53
x7nn4hl,720p,15,53
x7nn4hl,480p,6,53
x7nn4hl,360p,3.1,53
x7nn4hl,240p,1.7,53
x7nn4hl,144p,0.6,53
x7rbykt,1080p,971,1249
x7rbykt,720p,336,1249
x7rbykt,480p,131,1249
x7rbykt,360p,72,1249
x7rbykt,240p,39,1249
x7rbykt,144p,16,1249
x6y06po,720p,5.6,21
x6y06po,480p,2.2,21
x6y06po,360p,1.2,21
x6y06po,240p,0.6,21
x6y06po,144p,0.2,21
x68tqs7,720p,36,134
x68tqs7,360p,14,134
x68tqs7,240p,7.7,134
x68tqs7,144p,1.8,134
x7rbikv,1080p,25.7,33
x7rbikv,720p,8.9,33
x7rbikv,480p,3.4,33
x7rbikv,360p,1.9,33
x7rbikv,240p,1,33
x7rbj5k,1080p,17.9,23
x7rbj5k,720p,6.2,23
x7rbj5k,480p,2.4,23
x7rbj5k,360p,1.3,23
x7rbj5k,240p,0.7,23
x54945y,1080p,231.8,298
x54945y,720p,80,298
x54945y,480p,31,298
x54945y,360p,17.2,298
x54945y,240p,9.2,298
x595tir,1080p,440.2,666
x595tir,720p,152,666
x595tir,480p,59,666
x595tir,360p,32,666
x595tir,240p,7.4,666
x7b56dx,1080p,71.5,92
x7b56dx,720p,24.7,92
x7b56dx,480p,9.6,92
x7b56dx,360p,5.3,92
x7b56dx,240p,1.2,92
x74ce67,720p,161.4,602
x74ce67,480p,62,602
x74ce67,360p,34,602
x74ce67,240p,7.9,602
x7rbe54,1080p,60.7,78
x7rbe54,720p,21,78
x7rbe54,480p,8.2,78
x7rbe54,360p,4.5,78
x7rbe54,240p,2.4,78
x7rcwrc,1080p,135.3,174
x7rcwrc,720p,46,174
x7rcwrc,480p,18,174
x7rcwrc,360p,10,174
x7rcwrc,240p,5.4,174
x7rc5b7,720p,13.2,49
x7rc5b7,480p,5.1,49
x7rc5b7,360p,2.8,49
x7rc5b7,240p,1.5,49
x7rc5b7,144p,0.6,49
x7rczbd,1080p,86,111
x7rczbd,720p,29,111
x7rczbd,480p,11,111
x7rczbd,360p,6,111
x7rczbd,240p,3.4,111
x53vt7o,1080p,25,32
x53vt7o,720p,8.6,32
x53vt7o,480p,3.3,32
x53vt7o,360p,1.8,32
x53vt7o,240p,0.4,32
x7rc1fa,1080p,102,172
x7rc1fa,720p,35,172
x7rc1fa,480p,13,172
x7rc1fa,360p,7,172
x7rc1fa,240p,1.2,172
x7rblje,1080p,100,197
x7rblje,720p,40,197
x7rblje,480p,20,197
x7rblje,360p,10,197
x7rblje,240p,6,197
x7qqz85,1080p,250,459
x7qqz85,720p,100,459
x7qqz85,480p,40,459
x7qqz85,360p,20,459
x7qqz85,240p,10,459
x7pgrbo,1080p,300,489
x7pgrbo,720p,100,489
x7pgrbo,480p,40,489
x7pgrbo,360p,28,489
x7pgrbo,240p,20,489
x7qenhw,1080p,300,490
x7qenhw,720p,100,490
x7qenhw,480p,50,490
x7qenhw,360p,20,490
x7qenhw,240p,15,490
x7r2n77,1080p,250,440
x7r2n77,720p,120,440
x7r2n77,480p,45,440
x7r2n77,360p,25,440
x7r2n77,240p,14,440
x7r2n74,1080p,200,498
x7r2n74,720p,120,498
x7r2n74,480p,46,498
x7r2n74,360p,25,498
x7r2n74,240p,2,498
x7ppty4,720p,23,83
x7ppty4,480p,8,83
x7ppty4,360p,4,83
x7ppty4,240p,1,83
x571767,1080p,30,36
x571767,720p,30,36
x571767,480p,9,36
x571767,360p,3,36
x571767,240p,2,36
x7p0q0m,1080p,52,66
x7p0q0m,720p,18,66
x7p0q0m,480p,7,66
x7p0q0m,360p,4,66
x7p0q0m,240p,2,66
x6coxlc,1080p,502,650
x6coxlc,720p,502,650
x6coxlc,480p,180,650
x6coxlc,360p,68,650
x6coxlc,240p,38,650
x7nqpen,1080p,82,105
x7nqpen,720p,29,105
x7nqpen,480p,11,105
x7nqpen,360p,6,105
x7nqpen,240p,3.5,105
x7nqpen,144p,1.4,105
x7nqr4u,1080p,50,64
x7nqr4u,720p,18,64
x7nqr4u,480p,7,64
x7nqr4u,360p,3.7,64
x7nqr4u,240p,2,64
x7nqr4u,144p,0.8,64
